,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,1530.76977,1439.3805300000004,1370.8386,1347.99129,1347.99129,1370.8386,1690.70094,1964.86866,2170.4944499999997,2193.34176,2193.34176,2170.4944499999997,2170.4944499999997,2170.4944499999997,2124.7998300000004,2147.64714,2261.88369,2284.731,2284.731,2193.34176,2079.10521,1896.32673,1667.85363,1439.3805300000004
1,1645.9890000000003,1547.721,1474.02,1449.4529999999997,1449.4529999999997,1474.02,1817.958,2112.7619999999997,2333.865,2358.432,2358.432,2333.865,2333.865,2333.865,2284.731,2309.298,2432.1330000000003,2456.7,2456.7,2358.432,2235.597,2039.061,1793.3909999999998,1547.721
2,1613.0692200000003,1516.76658,1444.5395999999998,1420.4639399999999,1420.4639399999999,1444.5395999999998,1781.5988399999999,2070.5067599999998,2287.1877,2311.26336,2311.26336,2287.1877,2287.1877,2287.1877,2239.03638,2263.11204,2383.49034,2407.566,2407.566,2311.26336,2190.88506,1998.2797799999996,1757.52318,1516.76658
3,1580.14944,1485.81216,1415.0592,1391.4748799999998,1391.4748799999998,1415.0592,1745.23968,2028.2515199999998,2240.5103999999997,2264.09472,2264.09472,2240.5103999999997,2240.5103999999997,2240.5103999999997,2193.34176,2216.9260799999997,2334.84768,2358.432,2358.432,2264.09472,2146.17312,1957.4985599999998,1721.65536,1485.81216
4,1547.22966,1454.85774,1385.5787999999998,1362.4858199999999,1362.4858199999999,1385.5787999999998,1708.88052,1985.9962799999998,2193.8331,2216.9260799999997,2216.9260799999997,2193.8331,2193.8331,2193.8331,2147.64714,2170.74012,2286.20502,2309.298,2309.298,2216.9260799999997,2101.46118,1916.7173399999997,1685.7875399999998,1454.85774
5,1475.4940199999999,1361.99448,1286.3281200000001,1248.4949399999998,1210.66176,1229.5783500000002,1248.4949399999998,1324.1612999999998,1513.3272000000004,1664.6599199999998,1702.4931000000001,1721.40969,1702.4931000000001,1664.6599199999998,1645.74333,1645.74333,1721.40969,1891.6589999999999,1872.7424099999998,1834.9092299999998,1778.15946,1740.32628,1645.74333,1532.24379
6,1437.1695,1326.618,1252.9170000000001,1216.0665000000001,1179.216,1197.6412500000001,1216.0665000000001,1289.7674999999997,1474.0200000000002,1621.422,1658.2725,1676.69775,1658.2725,1621.422,1602.9967499999998,1602.9967499999998,1676.69775,1842.5249999999999,1824.0997499999996,1787.24925,1731.9734999999998,1695.1230000000003,1602.9967499999998,1492.4452500000002
7,1598.2515000000003,1502.8335000000002,1431.2700000000002,1407.4155,1407.4155,1431.2700000000002,1765.2330000000002,2051.4870000000005,2266.1775000000002,2290.032,2290.032,2266.1775000000002,2266.1775000000002,2266.1775000000002,2218.4685000000004,2242.3230000000003,2361.5955000000004,2385.4500000000003,2385.4500000000003,2290.032,2170.7595,1979.9235,1741.3785000000003,1502.8335000000002
8,1718.5500000000002,1615.9500000000003,1539.0,1513.3500000000001,1513.3500000000001,1539.0,1898.1000000000001,2205.9,2436.75,2462.4,2462.4,2436.75,2436.75,2436.75,2385.4500000000003,2411.1,2539.35,2565.0,2565.0,2462.4,2334.15,2128.95,1872.45,1615.9500000000003
9,1684.1790000000003,1583.6309999999999,1508.22,1483.0829999999999,1483.0829999999999,1508.22,1860.1379999999997,2161.7819999999997,2388.015,2413.152,2413.152,2388.015,2388.015,2388.015,2337.741,2362.8779999999997,2488.563,2513.7,2513.7,2413.152,2287.467,2086.3709999999996,1835.001,1583.6309999999999
10,1649.8080000000002,1551.3120000000001,1477.4399999999998,1452.8159999999996,1452.8159999999996,1477.4399999999998,1822.1759999999997,2117.664,2339.2799999999997,2363.904,2363.904,2339.2799999999997,2339.2799999999997,2339.2799999999997,2290.032,2314.6559999999995,2437.776,2462.4,2462.4,2363.904,2240.784,2043.792,1797.552,1551.3120000000001
11,1615.437,1518.993,1446.6599999999999,1422.549,1422.549,1446.6599999999999,1784.2140000000002,2073.546,2290.545,2314.6559999999995,2314.6559999999995,2290.545,2290.545,2290.545,2242.3230000000003,2266.4339999999997,2386.989,2411.1,2411.1,2314.6559999999995,2194.101,2001.2129999999997,1760.1029999999998,1518.993
12,1540.539,1422.036,1343.034,1303.5330000000001,1264.0320000000002,1283.7825000000003,1303.5330000000001,1382.5349999999999,1580.0400000000004,1738.044,1777.545,1797.2955000000002,1777.545,1738.044,1718.2935000000002,1718.2935000000002,1797.2955000000002,1975.0500000000002,1955.2994999999999,1915.7984999999999,1856.547,1817.046,1718.2935000000002,1599.7905
