,0
0,751
1,735
2,714
3,697
4,678
5,661
6,644
7,637
8,634
9,631
10,608
11,597
12,581
13,549
14,533
15,521
16,528
17,561
18,573
19,556
20,565
21,588
22,602
23,603
24,618
25,627
26,628
27,629
28,629
29,626
30,630
31,620
32,641
33,632
34,644
35,641
36,635
37,647
38,659
39,676
40,673
41,658
42,629
43,629
44,641
45,625
46,616
47,650
48,651
49,646
50,645
51,624
52,615
53,606
54,595
55,592
56,593
57,599
58,597
59,579
60,574
61,544
62,516
63,541
64,550
65,579
66,609
67,608
68,626
69,651
70,661
71,656
72,664
73,677
74,667
75,659
76,672
77,667
78,662
79,684
80,689
81,676
82,674
83,677
84,667
85,674
86,685
87,703
88,673
89,651
90,635
91,632
92,643
93,639
94,621
95,653
96,666
97,659
98,660
99,646
100,614
101,611
102,616
103,598
104,597
105,588
106,585
107,555
108,550
109,521
110,517
111,529
112,530
113,551
114,581
115,581
116,589
117,616
118,613
119,607
120,602
121,626
122,617
123,610
124,605
125,580
126,575
127,586
128,640
129,608
130,631
131,635
132,640
133,647
134,654
135,677
136,640
137,639
138,619
139,624
140,623
141,617
142,613
143,623
144,624
145,628
146,621
147,612
148,601
149,588
150,587
151,576
152,586
153,591
154,600
155,607
156,622
157,609
158,612
159,627
160,647
161,659
162,672
163,660
164,674
165,691
166,663
167,669
168,676
169,686
170,689
171,677
172,673
173,673
174,667
175,685
176,712
177,699
178,701
179,702
180,675
181,695
182,694
183,718
184,688
185,673
186,647
187,644
188,640
189,617
190,614
191,641
192,624
193,649
194,640
195,626
196,618
197,605
198,602
199,605
200,613
201,612
202,624
203,627
204,644
205,657
206,634
207,644
208,673
209,708
210,721
211,690
212,689
213,718
214,706
215,722
216,732
217,738
218,736
219,727
220,726
221,718
222,708
223,729
224,735
225,718
226,715
227,707
228,700
229,703
230,719
231,721
232,702
233,672
234,637
235,622
236,631
237,622
238,619
239,634
240,648
241,644
242,623
243,603
244,586
245,574
246,578
247,576
248,581
249,573
250,591
251,579
252,547
253,531
254,534
255,533
256,555
257,583
258,597
259,599
260,608
261,623
262,624
263,628
264,643
265,652
266,664
267,653
268,631
269,630
270,625
271,629
272,641
273,635
274,652
275,666
276,645
277,677
278,674
279,709
280,682
281,658
282,655
283,650
284,633
285,616
286,607
287,639
288,647
289,630
290,607
291,609
292,596
293,606
294,574
295,575
296,584
297,587
298,603
299,620
300,641
301,649
302,645
303,653
304,664
305,689
306,722
307,720
308,697
309,726
310,716
311,718
312,726
313,739
314,731
315,725
316,723
317,717
318,725
319,745
320,740
321,725
322,736
323,731
324,720
325,717
326,729
327,735
328,706
329,689
330,670
331,654
332,649
333,656
334,627
335,644
336,670
337,664
338,634
339,647
340,610
341,621
342,604
343,608
344,615
345,623
346,642
347,657
348,662
349,676
350,675
351,678
352,681
353,690
354,715
355,706
356,706
357,738
358,717
359,737
360,723
361,749
362,736
363,724
364,739
365,722
366,704
367,714
368,729
369,730
370,722
371,713
372,712
373,708
374,709
375,739
376,687
377,666
378,636
379,624
380,643
381,647
382,641
383,653
384,678
385,666
386,646
387,639
388,630
389,615
390,600
391,598
392,600
393,606
394,631
395,590
396,566
397,560
398,554
399,572
400,589
401,604
402,651
403,638
404,659
405,667
406,671
407,671
408,684
409,687
410,692
411,681
412,699
413,693
414,683
415,688
416,716
417,722
418,711
419,724
420,704
421,718
422,716
423,734
424,667
425,655
426,651
427,640
428,654
429,648
430,625
431,650
432,652
433,646
434,634
435,622
436,594
437,578
438,574
439,570
440,582
441,583
442,575
443,573
444,561
445,543
446,537
447,546
448,572
449,577
450,606
451,606
452,615
453,634
454,628
455,640
456,643
457,649
458,646
459,639
460,653
461,630
462,625
463,635
464,638
465,640
466,652
467,656
468,665
469,672
470,669
471,679
472,660
473,651
474,641
475,616
476,620
477,616
478,609
479,632
480,640
481,633
482,621
483,623
484,613
485,609
486,598
487,594
488,606
489,616
490,619
491,643
492,687
493,698
494,687
495,701
496,691
497,712
498,728
499,717
500,707
501,716
502,711
503,717
504,732
505,748
506,744
507,729
508,747
509,741
510,732
511,746
512,744
513,739
514,739
515,729
516,720
517,721
518,735
519,734
520,718
521,704
522,670
523,653
524,641
525,646
526,637
527,655
528,671
529,664
530,641
531,637
532,630
533,611
534,605
535,618
536,617
537,624
538,646
539,679
540,681
541,714
542,707
543,707
544,721
545,715
546,739
547,735
548,715
549,728
550,738
551,723
552,726
553,739
554,734
555,712
556,717
557,704
558,684
559,719
560,727
561,732
562,739
563,720
564,705
565,717
566,710
567,731
568,709
569,681
570,654
571,629
572,629
573,617
574,625
575,650
576,657
577,646
578,630
579,615
580,621
581,606
582,589
583,596
584,617
585,624
586,662
587,673
588,688
589,704
590,719
591,739
592,719
593,736
594,727
595,738
596,727
597,736
598,732
599,742
600,749
601,756
602,750
603,734
604,734
605,717
606,726
607,737
608,747
609,728
610,738
611,737
612,727
613,739
614,735
615,752
616,726
617,695
618,659
619,638
620,639
621,631
622,631
623,655
624,685
625,680
626,662
627,654
628,631
629,628
630,621
631,617
632,617
633,640
634,661
635,676
636,712
637,749
638,733
639,731
640,729
641,749
642,724
643,725
644,704
645,725
646,704
647,713
648,729
649,742
650,738
651,714
652,726
653,719
654,714
655,742
656,742
657,757
658,748
659,744
660,731
661,734
662,743
663,763
664,734
665,704
666,674
667,668
668,664
669,658
670,655
671,682
672,695
673,672
674,670
675,659
676,647
677,637
678,639
679,627
680,634
681,648
682,656
683,667
684,694
685,710
686,710
687,708
688,714
689,719
690,722
691,716
692,686
693,711
694,699
695,711
696,735
697,752
698,737
699,739
700,744
701,714
702,707
703,735
704,742
705,740
706,742
707,741
708,735
709,736
710,738
711,739
712,714
713,688
714,683
715,679
716,679
717,672
718,659
719,690
720,706
721,692
722,681
723,656
724,651
725,648
726,620
727,634
728,626
729,626
730,614
731,614
732,602
733,587
734,580
735,596
736,601
737,626
738,649
739,662
740,654
741,691
742,711
743,698
744,687
745,707
746,724
747,699
748,706
749,700
750,680
751,688
752,707
753,714
754,716
755,726
756,709
757,726
758,720
759,738
760,700
761,685
762,674
763,657
764,686
765,674
766,651
767,676
768,693
769,678
770,655
771,658
772,652
773,626
774,621
775,615
776,610
777,610
778,598
779,584
780,575
781,557
782,564
783,574
784,585
785,614
786,629
787,621
788,613
789,654
790,639
791,640
792,633
793,644
794,659
795,650
796,640
797,636
798,607
799,609
800,632
801,647
802,662
803,680
804,674
805,682
806,689
807,699
808,676
809,672
810,649
811,636
812,634
813,640
814,636
815,647
816,656
817,642
818,655
819,640
820,624
821,617
822,624
823,604
824,619
825,632
826,662
827,673
828,707
829,722
830,730
831,723
832,732
833,743
834,740
835,728
836,709
837,722
838,700
839,717
840,736
841,750
842,729
843,726
844,723
845,716
846,702
847,727
848,756
849,770
850,745
851,734
852,758
853,775
854,782
855,769
856,747
857,716
858,703
859,680
860,696
861,673
862,651
863,690
864,707
865,713
866,685
867,685
868,663
869,670
870,676
871,664
872,666
873,671
874,690
875,718
876,744
877,740
878,755
879,750
880,746
881,752
882,754
883,736
884,711
885,733
886,722
887,721
888,741
889,751
890,737
891,711
892,744
893,734
894,731
895,739
896,749
897,767
898,779
899,782
900,760
901,781
902,775
903,780
904,756
905,733
906,719
907,698
908,684
909,681
910,672
911,701
912,719
913,716
914,694
915,695
916,681
917,675
918,679
919,689
920,678
921,685
922,691
923,727
924,765
925,781
926,772
927,770
928,767
929,784
930,792
931,787
932,777
933,781
934,762
935,759
936,749
937,763
938,742
939,757
940,764
941,751
942,736
943,767
944,779
945,775
946,782
947,759
948,764
949,779
950,774
951,779
952,757
953,735
954,711
955,696
956,696
957,684
958,684
959,725
960,741
961,728
962,709
963,708
964,681
965,677
966,668
967,667
968,670
969,674
970,695
971,718
972,768
973,770
974,762
975,760
976,773
977,783
978,790
979,778
980,757
981,779
982,782
983,785
984,788
985,801
986,778
987,767
988,789
989,769
990,764
991,768
992,765
993,773
994,747
995,771
996,762
997,770
998,751
999,773
1000,751
1001,725
1002,679
1003,659
1004,670
1005,634
1006,661
1007,700
1008,700
1009,698
1010,672
1011,658
1012,652
1013,647
1014,648
1015,644
1016,643
1017,646
1018,708
1019,702
1020,753
1021,739
1022,739
1023,743
1024,751
1025,733
